"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"AFRICEL","Information and Communications","Internet services (ISP)","Antennas","Networks and Communication","ISP Connection Backbone","Countrywide","ISP Service","Africell","Africell Team","F839+H6X","Active","1","1","4","2","3","11","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","QNAP","Data","Hardware Asset with OS installed used for Data backup","Gambia Ports Authirty, Banjul","Power,LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","1","2","3","1","3","10","Tier-2"
"AFRICEL","Information and Communications","International gateway services","SIP Server","Hardware and Computing Infrastructure","Signalling Server","Africell HQ","International Voice","Africell","Africell Team","F839+H6X","Active","3","2","4","2","2","13","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port Logistics coordination","Data Backup","Data","Database","Gambia Ports Authority, Banjul","OS, Licenses, Power","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","2","2","2","2","10","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","Counseling, Educational & Vocational Training Programmes","Software Systems","Classrooms, workshops, counseling rooms, and digital learning tools for inmate rehabilitation.","Education Block & Workshops – Mile 2; Partner NGOs at Jeshwang","Up: Power, LAN/Internet (for e-learning), Trainers; Down: Reintegration Services, Case Management","Hybrid","GPS Rehabilitation & Education Unit; Partners (MoBSE, NGOs)","On-prem education blocks and workshops","Active","3","2","2","2","3","12","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","Paypro","Software Systems","Staff Payroll software","Gambia Ports Authirty, Banjul","SQL database, Power, LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","3","2","2","1","10","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","Access Control & Biometrics","Hardware and Computing Infrastructure","Badge and biometric readers for staff/inmate movement, sally ports, and restricted zones.","All prison entry points and internal secure doors","Up: Power, Directory Services; Down: Guard Roster System, Incident Logs","Public","GPS Security","Multiple facilities","Active","4","2","3","3","2","14","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","Shorehandling","Software Systems","Hosting Software Asset","Gambia Ports Authirty, Banjul","SQL database,nginx,power supply,cooling system","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","3","3","2","3","13","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","HF/VHF Radio Network","Networks and Communication","Two-way radios and repeaters for command-and-control, emergencies, and daily operations.","Mile 2, Jeshwang, Old Jeshwang; Mobile units","Up: Power, Repeaters/Masts; Down: Emergency Response, Perimeter Patrols","Public","GPS Operations – Signals","Network-wide","Active","4","2","2","4","2","14","Tier-2"
"Social Security and Housing Finance Corporation (SSHFC)","Banking and Finance","Investment management","SSMIS","Software Systems","Integrates Core Business Processes in One PLatform","Headquarters","FMS,HRMS ,MSSQL SERVER","PRIVATE","SSHFC","FC3G+3X","Active","3","3","2","3","3","14","Tier-2"
"National Records Service (NRS)","General Government","National archives services","Digitization Clerk","Human","Scan to Digitize Archival Records","National Records Service","Desktops","Government","National Records Service","F87H+M2J, Serrekunda","Active","2","2","2","4","2","12","Tier-2"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Conservation and assessment of fish stocks","Network Infrastructure","Networks and Communication","Internet via Gamtel; 
routers, switches, 
and backup comms 
enabling fisheries data sharing. 
","Mofwr","Gamtel ISP
All fisheries digital systems","MoFWR","MoFWR","Banjul and
Landing site across
The Gambia","Active","3","3","3","2","3","14","Tier-2"
"Gam Petroleum (GP)","Power, Energy and Water","Manage fuel depots","Internet","Networks and Communication","Connectivity and Data sharing","Mandinari Depot","Power, network","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","3","4","4","3","","14","Tier-2"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Conservation and assessment of fish stocks","Fisheries Officers & Analysts","Human","Fisheries officers, 
analysts, I
T specialists, and 
system administrators 
managing the service.
","Mofwr","government policy 
Data collection, 
compliance enforcement, 
reports","MoFWR","MoFWR","Banjul and
Landing site across
The Gambia","Active","4","3","2","1","3","13","Tier-2"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Collection, assessment, and management of surface and groundwater data","GIS & Analytical Platforms","Software Systems","Tools for spatial and 
statistical analysis 
of hydrological data.","MoFWR 
regional offices","","Public","MoFWR","Across the Gambia","Active","3","3","2","2","2","12","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","Internet","Networks and Communication","to provided netwrking","Bijilo and Banjul","Labtops, desktop and network","GMA","GMA","","Active","2","2","3","1","3","11","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","Microsoft Dynamics ERP (Finance and Operations)","Software Systems","Core Finance and Operations Software (ON-prem)","Gambia Ports Authirty, Banjul","Power supply, PowerVault storage,SQL database, LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","3","3","2","3","13","Tier-2"
"Accountant General's Department (AGD)","Banking and Finance","Cash management","Network Equipment","Networks and Communication","This are network devices use for network connectivity ","AGD","Routers, switches, Firewall, UPS,Data Rack, cooling system, Cable","Budget Unit","AGD","FC4G+28Q","Active","2","3","2","2","3","12","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","No of pending vessel registry","Software Systems","it provided all the list of the pending registry vessel","Bijilo and Banjul","Labtops, desktop and network","GMA","gMA","","Active","1","1","3","3","3","11","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","No. of vessel registry ","Software Systems","it provided all the list of the registry vessel","Bijilo and Banjul","Labtops, desktop and network","GMA","gMA","","Active","1","1","3","3","3","11","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","No of Vessel List","Software Systems","Used for record the numbers of vessel","Bijilo and Banjul","Labtops, desktop and network","GMA","GMA","","Active","3","2","1","1","3","10","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","Open-Source Intelligence (OSINT) Feed: Monitoring of shipping databases,and maritime activity.","Software Systems","for mintoring vessel and locations","Bijilo and Banjul","Labtops, desktop and network","GMA","GMA","","Active","2","2","1","1","4","10","Tier-2"
"Gambia Maritime Administration (GMA)","Transport","Maritime security operations","Safety Inspection Officer","Human","they go onboard to inspect any vessel or cargo","Bijilo and Banjul","Tablets, books and pens","GMA","GMA","","Active","2","3","3","3","3","14","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Maritime trade facilitation","Single window","Software Systems","Hosting Software Asset","GRA","Services, Licenses","GRA","GRA (IT)","Cloud Base","Active","2","2","2","2","2","10","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port Logistics coordination","Vmware Exsi","Software Systems","Virtual Machine","Gambia Ports Authority, Banjul","Servers, OS, Licenses","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","2","3","1","2","10","Tier-2"
"The Gambia Judiciary","Justice and Legal Affairs","Court administration","Microsoft Office Suite","Software Systems","Use word processing, and other documentation related activities","Office Workstations","Licensing","Judiciary","IT - Judiciary","13.459836, -16.581277","Active","1","1","3","2","3","10","Tier-2"
"Medical and Dental Council (MDCG)","Health and Well‐Being","Registers practitioners and Sets professional standards","Website database","Data","Information, communication and Education","work stations, MDCG","Power suply, Internet","MDCG","IT-MDCG","F88H+C4X","Active","4","1","1","1","3","10","Tier-2"
"Central Bank of The Gambia (CBG)","Banking and Finance","Banking supervision and regulation","Credit reference System","Hardware and Computing Infrastructure","Credit reference platform for financial institutions","CBG Datacenter","-Power
- Core Network infrastructure
-LAN
-VPN 
-WAN
-Service Provider,
-laptop/desktop","CBG","ICTD, BSD","FC3G+9Q, Banjul","Active","2","2","2","2","2","10","Tier-2"
"National Early Warning & Response Mechanism (NCCRM)","Emergency Services","Policy and Decision Support"," NCCRM Dashboard","Software Systems","for data analysis","Kololi new road","internet, ","National Early Warning Center","National Early Warning Center","C7RM+CV8,","Candidate","2","2","2","1","3","10","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Veeam Backup solution server","Software Systems","Backup server","GBoS office","Internet,active directive server,electricity/Backup records","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","GBoS Server Room","Facilities","IT infrastructure","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Bureau of Statistics (GBoS)","Education & Research","National statistical data collection","Active Directory(dmomain Controller)","Software Systems","User managment","GBoS office","


Electricity/GBoS operation,","Public","GBoS","GBos","Active","3","3","3","3","2","14","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Vessel traffic management","VTS (Ongoing)","Software Systems","Hosting Software Asset","Gambia Ports Authirty, Banjul","SQL database,nginx,power supply,cooling system","Gambia Ports Authority","Gambia Ports Authority (Security)","CCVG+68X, Banjul","Active","3","2","3","2","1","11","Tier-2"
